participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._round_number;participant._current_page_name;participant.ip_address;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.contribution;player.subsession_id;player.group_id;player.payoff;group.id_in_subsession;group.total_contribution;group.individual_share;group.subsession_id;subsession.round_number;session.code;session.label;session.experimenter_name;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;8ynmww4a;;0;35;34;survey;1;CognitiveReflectionTest;10.192.62.214;2018-04-26 10:42:55.339129+00:00;1;;;583;1;100;1;1;190;1;380;190;1;1;0n9wwg3q;;;;;;0
2;kx6pfi9t;;0;35;34;survey;1;CognitiveReflectionTest;10.192.157.65;2018-04-26 10:40:12.604243+00:00;1;;;678;2;100;1;1;190;1;380;190;1;1;0n9wwg3q;;;;;;0
3;dwkhvxd4;;0;35;34;survey;1;CognitiveReflectionTest;10.192.50.197;2018-04-26 10:39:50.999630+00:00;1;;;693;3;100;1;1;190;1;380;190;1;1;0n9wwg3q;;;;;;0
4;9v7d3dmy;;0;35;34;survey;1;CognitiveReflectionTest;10.192.0.241;2018-04-26 10:40:03.273922+00:00;1;;;533;4;80;1;1;210;1;380;190;1;1;0n9wwg3q;;;;;;0
1;8ynmww4a;;0;35;34;survey;1;CognitiveReflectionTest;10.192.62.214;2018-04-26 10:42:55.339129+00:00;1;;;583;1;100;2;2;150;1;300;150;2;2;0n9wwg3q;;;;;;0
2;kx6pfi9t;;0;35;34;survey;1;CognitiveReflectionTest;10.192.157.65;2018-04-26 10:40:12.604243+00:00;1;;;678;2;0;2;2;250;1;300;150;2;2;0n9wwg3q;;;;;;0
3;dwkhvxd4;;0;35;34;survey;1;CognitiveReflectionTest;10.192.50.197;2018-04-26 10:39:50.999630+00:00;1;;;693;3;100;2;2;150;1;300;150;2;2;0n9wwg3q;;;;;;0
4;9v7d3dmy;;0;35;34;survey;1;CognitiveReflectionTest;10.192.0.241;2018-04-26 10:40:03.273922+00:00;1;;;533;4;100;2;2;150;1;300;150;2;2;0n9wwg3q;;;;;;0
