participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.crt_question1,player.crt_confidence1,player.crt_question2,player.crt_confidence2,player.crt_question3,player.crt_confidence3,player.crt_question4,player.crt_confidence4,player.crt_question5,player.crt_confidence5,player.crt_question6,player.crt_confidence6,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,lvppow6h,,0,31,30,survey,1,CognitiveReflectionTest,10.192.80.117,2018-04-25 10:51:31.813283+00:00,1,,,338,1,22,Female,Pompeii,100,10,75,Billy Jean,100,Rum,60,Madagascar,60,Basketball,0,1,1,0,1,1,1,p4bafqkb,,,,,,0
2,vc4dj0er,,0,31,30,survey,1,CognitiveReflectionTest,10.192.38.27,2018-04-25 10:51:32.853795+00:00,1,,,403,2,23,Female,Pompei,80,10,50,Billie Jean,100,Gin,30,Madagaskar,70,Baseball,40,1,1,0,1,1,1,p4bafqkb,,,,,,0
3,mnsykb83,,0,31,30,survey,1,CognitiveReflectionTest,10.192.26.70,2018-04-25 10:51:11.834899+00:00,1,,,338,3,23,Female,Pompei,100,9,10,Billie Jean,100,Wine,70,Madagascar,90,american football,70,1,1,0,1,1,1,p4bafqkb,,,,,,0
4,wiz2bhz9,,0,31,30,survey,1,CognitiveReflectionTest,10.192.124.63,2018-04-25 10:51:24.395518+00:00,1,,,358,4,23,Female,Pompeji,70,10,20,billy jean,100,whiskey,0,madagascar,50,american football,10,1,1,0,1,1,1,p4bafqkb,,,,,,0
