participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.crt_question1,player.crt_confidence1,player.crt_question2,player.crt_confidence2,player.crt_question3,player.crt_confidence3,player.crt_question4,player.crt_confidence4,player.crt_question5,player.crt_confidence5,player.crt_question6,player.crt_confidence6,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,8o269jsu,,0,31,30,survey,1,CognitiveReflectionTest,10.192.50.61,2018-05-02 08:32:18.224847+00:00,1,,,383,1,21,Male,Pompei,100,10,100,no,0,whiskey,10,Madagascar,80,Basketball,0,1,1,0,1,1,1,aekip0lz,,,,,,0
2,r5p7qy38,,0,31,30,survey,1,CognitiveReflectionTest,10.192.63.243,2018-05-02 08:32:16.725618+00:00,1,,,368,2,24,Female,Pompei,65,10,65,Billy Jean,65,Portvin,65,Australia,65,Basketball,65,1,1,0,1,1,1,aekip0lz,,,,,,0
3,5bdwu9zn,,0,31,30,survey,1,CognitiveReflectionTest,10.192.89.15,2018-05-02 08:32:17.615793+00:00,1,,,393,3,21,Female,Pompei,99,10,99,Thiller,0,Beer,0,Madagascar,40,American football,0,1,1,0,1,1,1,aekip0lz,,,,,,0
4,iaf63o8m,,0,31,30,survey,1,CognitiveReflectionTest,10.192.29.219,2018-05-02 08:32:16.618836+00:00,1,,,363,4,22,Female,Napoli,50,10,50,billy jean,50,whiskey,50,Tasmania,0,handball,50,1,1,0,1,1,1,aekip0lz,,,,,,0
