participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.crt_question1,player.crt_confidence1,player.crt_question2,player.crt_confidence2,player.crt_question3,player.crt_confidence3,player.crt_question4,player.crt_confidence4,player.crt_question5,player.crt_confidence5,player.crt_question6,player.crt_confidence6,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,hfhlpami,,0,31,30,survey,1,CognitiveReflectionTest,172.20.10.6,2018-04-26 14:08:21.701435+00:00,1,,,354,1,25,Female,?,1,8,70,Billy Jean,95,?,1,?,1,American football,40,1,1,0,1,1,1,cz8hmryc,,,,,,0
2,1emkc1s8,,0,31,30,survey,1,CognitiveReflectionTest,172.20.10.7,2018-04-26 14:08:10.983890+00:00,1,,,369,2,23,Male,Pompeij,100,10,100,Billy Jean,100,Vin,50,Mount Everest,50,Tennis,80,1,1,0,1,1,1,cz8hmryc,,,,,,0
3,a1lpjwuw,,0,31,30,survey,1,CognitiveReflectionTest,172.20.10.4,2018-04-26 14:08:57.221304+00:00,1,,,449,3,23,Male,Pompei,100,10,95,billie jean,100,wine,100,Madagasgar,100,baseball,5,1,1,0,1,1,1,cz8hmryc,,,,,,0
4,qq6ylqqp,,0,31,30,survey,1,CognitiveReflectionTest,172.20.10.8,2018-04-26 14:07:34.426717+00:00,1,,,387,4,24,Male,Pompeji,99,10,65,Thriller,3,Tequila,10,Madagascar,100,Cricket,55,1,1,0,1,1,1,cz8hmryc,,,,,,0
