participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.crt_question1,player.crt_confidence1,player.crt_question2,player.crt_confidence2,player.crt_question3,player.crt_confidence3,player.crt_question4,player.crt_confidence4,player.crt_question5,player.crt_confidence5,player.crt_question6,player.crt_confidence6,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,l2xfa5g9,,0,31,30,survey,1,CognitiveReflectionTest,172.20.10.9,2018-05-09 10:35:53.359616+00:00,1,,,475,1,23,Female,Pompei,95,10,95,Billy Jean,99,Vodka,1,Madagaskar,50,American football,10,1,1,0,1,1,1,u7y3fi4q,,,,,,1
2,egjwe6n7,,0,31,30,survey,1,CognitiveReflectionTest,172.20.10.11,2018-05-09 10:34:43.157259+00:00,1,,,500,2,22,Female,Pamplona,30,10,60,P.Y.T.,20,Whiskey,20,Madagascar,70,Softball,20,1,1,0,1,1,1,u7y3fi4q,,,,,,1
3,z74ihopm,,0,31,30,survey,1,CognitiveReflectionTest,172.20.10.10,2018-05-09 10:34:37.403202+00:00,1,,,435,3,23,Female,Pompeji,80,10,80,Man in the mirror,10,Wine,10,Madagascar,95,American football,20,1,1,0,1,1,1,u7y3fi4q,,,,,,1
4,v1a9ymt5,,0,31,30,survey,1,CognitiveReflectionTest,172.20.10.12,2018-05-09 10:37:02.893314+00:00,1,,,460,4,23,Female,Something with P,20,Ten,70,Billie Jean,100,Wine,20,Madagascar,60,Basketball,0,1,1,0,1,1,1,u7y3fi4q,,,,,,1
