participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.crt_question1,player.crt_confidence1,player.crt_question2,player.crt_confidence2,player.crt_question3,player.crt_confidence3,player.crt_question4,player.crt_confidence4,player.crt_question5,player.crt_confidence5,player.crt_question6,player.crt_confidence6,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,ve0n76cm,,0,31,30,survey,1,CognitiveReflectionTest,10.192.116.60,2018-05-02 12:23:18.810217+00:00,1,,,510,1,29,Male,Pompeji,100,7,50,Billie Jean,100,Bloody Mary,0,Madagascar,100,Icehockey,50,1,1,0,1,1,1,lqnsyg7q,,,,,,0
2,7i5zkemm,,0,31,30,survey,1,CognitiveReflectionTest,10.192.18.66,2018-05-02 12:23:41.714997+00:00,1,,,450,2,24,Female,Rom,5,10,85,Billy Jean,100,Scotch,15,Madagascar,50,Basketball,20,1,1,0,1,1,1,lqnsyg7q,,,,,,0
3,pjftg3wb,,0,31,30,survey,1,CognitiveReflectionTest,10.192.108.135,2018-05-02 12:24:06.757675+00:00,1,,,460,3,23,Male,Pompei,100,10,100,?,1,Whiskey,1,Madagascar,80,Baseball,1,1,1,0,1,1,1,lqnsyg7q,,,,,,0
4,ycjyukkm,,0,31,30,survey,1,CognitiveReflectionTest,10.192.159.84,2018-05-02 12:23:24.379422+00:00,1,,,440,4,24,Female,Pompeii,100,10,80,Billy Jean,90,Snaps,20,Australien,10,Amerikansk fodbold,15,1,1,0,1,1,1,lqnsyg7q,,,,,,0
