participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.crt_question1,player.crt_confidence1,player.crt_question2,player.crt_confidence2,player.crt_question3,player.crt_confidence3,player.crt_question4,player.crt_confidence4,player.crt_question5,player.crt_confidence5,player.crt_question6,player.crt_confidence6,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,5b53jt0q,,0,31,30,survey,1,CognitiveReflectionTest,10.192.57.56,2018-04-26 13:22:45.977549+00:00,1,,,295,1,26,Female,?,0,8,0,Man in the mirrow,50,?,0,Australien,20,?,0,1,1,0,1,1,1,49n71mi4,,,,,,0
2,wfu2jkh1,,0,31,30,survey,1,CognitiveReflectionTest,10.192.94.140,2018-04-26 13:22:19.836411+00:00,1,,,295,2,24,Female,Pompei,100,5,100,the one,5,wisky,5,Madagaskar,90,American football,5,1,1,0,1,1,1,49n71mi4,,,,,,0
3,bgclgyum,,0,31,30,survey,1,CognitiveReflectionTest,10.192.61.18,2018-04-26 13:24:09.273524+00:00,1,,,435,3,24,Female,Pompei,100,8,8,Billy Jeans,20,White Wine,5,Madagascar,80,Rugby,10,1,1,0,1,1,1,49n71mi4,,,,,,0
4,wlierms3,,0,31,30,survey,1,CognitiveReflectionTest,10.192.124.63,2018-04-26 13:22:04.574678+00:00,1,,,425,4,24,Male,Milano,1,9,1,dont know,1,beer,10,Isle of man,1,baseball,1,1,1,0,1,1,1,49n71mi4,,,,,,0
