participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.crt_question1,player.crt_confidence1,player.crt_question2,player.crt_confidence2,player.crt_question3,player.crt_confidence3,player.crt_question4,player.crt_confidence4,player.crt_question5,player.crt_confidence5,player.crt_question6,player.crt_confidence6,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,37q83yj7,,0,31,30,survey,1,CognitiveReflectionTest,192.168.38.103,2018-05-02 18:52:53.735046+00:00,1,,,471,1,22,Male,Pompei,100,6,75,Something something,0,Port vin,100,Kilimanjaro,80,Cricket,10,1,1,0,1,1,1,dmmxdden,,,,,,0
2,em3gkorh,,0,31,30,survey,1,CognitiveReflectionTest,192.168.38.101,2018-05-02 18:53:29.580301+00:00,1,,,341,2,22,Female,Pompeji,100,10,50,Billy Jeans,90,Whisky,0,hfhghgh,0,Basketball,0,1,1,0,1,1,1,dmmxdden,,,,,,0
3,nmea8on7,,0,31,30,survey,1,CognitiveReflectionTest,192.168.38.102,2018-05-02 18:53:51.674324+00:00,1,,,411,3,26,Female,Pompeii,99,10,99,be carefull,1,vin,5,Madagaskar,80,Baseball,20,1,1,0,1,1,1,dmmxdden,,,,,,0
4,6gdhpwk7,,0,31,30,survey,1,CognitiveReflectionTest,192.168.38.104,2018-05-02 18:53:31.617844+00:00,1,,,241,4,22,Female,pompij,1,20,1,bill jean,20,?,1,?,1,?,1,1,1,0,1,1,1,dmmxdden,,,,,,0
