participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.crt_question1,player.crt_confidence1,player.crt_question2,player.crt_confidence2,player.crt_question3,player.crt_confidence3,player.crt_question4,player.crt_confidence4,player.crt_question5,player.crt_confidence5,player.crt_question6,player.crt_confidence6,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,ty6vljmn,,0,31,30,survey,1,CognitiveReflectionTest,10.192.106.12,2018-04-25 12:27:15.165229+00:00,1,,,276,1,23,Male,Pompeii,100,10,100,Billie Jean,100,Port,100,Madagascar,60,Basketball,20,1,1,0,1,1,1,56nqyqj7,,,,,,0
2,ccgu9x5y,,0,31,30,survey,1,CognitiveReflectionTest,10.192.100.218,2018-04-25 12:27:29.968315+00:00,1,,,446,2,24,Male,Pompei,100,12,50,Billie Jean,100,No idea,0,No idea,0,Baseball,50,1,1,0,1,1,1,56nqyqj7,,,,,,0
3,nbv7cre1,,0,31,30,survey,1,CognitiveReflectionTest,10.192.42.141,2018-04-25 12:27:57.871255+00:00,1,,,431,3,22,Male,pompei,80,12,63,man in the mirror,1,wine,10,madegaskar,60,baseball,40,1,1,0,1,1,1,56nqyqj7,,,,,,0
4,1ot6syka,,0,31,30,survey,1,CognitiveReflectionTest,10.192.84.64,2018-04-25 12:27:59.977217+00:00,1,,,401,4,24,Male,Pompei,70,10,10,Mirror,1,wine,10,Madagascar,40,American Football,10,1,1,0,1,1,1,56nqyqj7,,,,,,0
