participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.crt_question1,player.crt_confidence1,player.crt_question2,player.crt_confidence2,player.crt_question3,player.crt_confidence3,player.crt_question4,player.crt_confidence4,player.crt_question5,player.crt_confidence5,player.crt_question6,player.crt_confidence6,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,4afplfkk,,0,31,30,survey,1,CognitiveReflectionTest,10.192.91.164,2018-04-26 12:29:35.674698+00:00,1,,,435,1,22,Female,Something with P,0,ten,20,Billie Jean,100,whiskey,30,Madagaskar,40,Basketball,10,1,1,0,1,1,1,gb4on3nk,,,,,,0
2,zv88gu1m,,0,31,30,survey,1,CognitiveReflectionTest,10.192.131.54,2018-04-26 12:31:06.789105+00:00,1,,,445,2,24,Female,Pompeii,100,10,60,Billy Jean,100,Portwine,80,Madagaskar,100,Basketball,1,1,1,0,1,1,1,gb4on3nk,,,,,,0
3,lah9hhpn,,0,31,30,survey,1,CognitiveReflectionTest,10.192.16.216,2018-04-26 12:29:36.814797+00:00,1,,,535,3,26,Male,Napoli,1,10,15,Billy Jean,100,Beer,10,No idea,1,American Football,1,1,1,0,1,1,1,gb4on3nk,,,,,,0
4,7tl83n0k,,0,31,30,survey,1,CognitiveReflectionTest,10.192.124.63,2018-04-26 12:29:16.384852+00:00,1,,,455,4,21,Female,Pompii,90,10,95,Billie Jean,100,Whiskey,30,Austrailia,20,Basketball,60,1,1,0,1,1,1,gb4on3nk,,,,,,0
