participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.crt_question1,player.crt_confidence1,player.crt_question2,player.crt_confidence2,player.crt_question3,player.crt_confidence3,player.crt_question4,player.crt_confidence4,player.crt_question5,player.crt_confidence5,player.crt_question6,player.crt_confidence6,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,f34qozn4,,0,3,3,payment_info,1,PaymentInfo,10.192.8.216,2018-04-26 09:06:24.189169+00:00,1,,,0,1,31,Female,Pompeii,100,10,90,Billy Jean,50,Port,99,Madagascar,70,Tennis,60,1,1,0,1,1,1,aogd9hu2,,,,,,0
2,wsndbhz3,,0,3,3,payment_info,1,PaymentInfo,10.192.107.180,2018-04-26 09:06:56.851058+00:00,1,,,0,2,21,Other,Pompei,90,10,80,thriller,1,whiskey,70,Madagascar,95,American football,30,1,1,0,1,1,1,aogd9hu2,,,,,,0
3,fl5qrq6y,,0,3,3,payment_info,1,PaymentInfo,10.192.124.63,2018-04-26 09:06:47.652823+00:00,1,,,0,3,25,Female,Pompai,70,4,5,black or white,70,wine,30,Madagaskar,50,basketball,10,1,1,0,1,1,1,aogd9hu2,,,,,,0
4,09673lep,,0,3,3,payment_info,1,PaymentInfo,10.192.29.125,2018-04-26 09:07:00.787459+00:00,1,,,0,4,25,Male,Rom,1,9,100,I'm bad,100,Mokai,1,Bornholm,1,Badmiton,50,1,1,0,1,1,1,aogd9hu2,,,,,,0
