participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.age,player.gender,player.crt_question1,player.crt_confidence1,player.crt_question2,player.crt_confidence2,player.crt_question3,player.crt_confidence3,player.crt_question4,player.crt_confidence4,player.crt_question5,player.crt_confidence5,player.crt_question6,player.crt_confidence6,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,3hvvlu3u,,0,31,30,survey,1,CognitiveReflectionTest,10.192.131.24,2018-05-02 09:31:50.211704+00:00,1,,,445,1,23,Female,Pompej,65,8,0,Billy Jean,99,?,0,Do not know...,0,Amercian Football,0,1,1,0,1,1,1,5v3sbzcp,,,,,,0
2,iaz5m017,,0,31,30,survey,1,CognitiveReflectionTest,10.192.137.222,2018-05-02 09:31:46.118998+00:00,1,,,365,2,22,Male,pompei,100,12,10,Billie Jean,100,Port,80,Madagascar,40,Rugby,10,1,1,0,1,1,1,5v3sbzcp,,,,,,0
3,ulw851te,,0,31,30,survey,1,CognitiveReflectionTest,10.192.111.253,2018-05-02 09:31:40.746628+00:00,1,,,345,3,22,Female,Pompeii,90,10,100,Billie Jean,100,Portwine,90,Madagascar,0,American Football,0,1,1,0,1,1,1,5v3sbzcp,,,,,,0
4,xdy8e0nu,,0,31,30,survey,1,CognitiveReflectionTest,10.192.26.111,2018-05-02 09:33:21.374283+00:00,1,,,375,4,22,Female,Pompei,80,10,56,Billy Jean,100,Wine,0,Madagascar,10,Badmiton,30,1,1,0,1,1,1,5v3sbzcp,,,,,,0
