participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.name,player.team,player.age,player.gender,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.use_strategy_method,group.amount_offered,group.offer_accepted,group.response_0,group.response_10,group.response_20,group.response_30,group.response_40,group.response_50,group.response_60,group.response_70,group.response_80,group.response_90,group.response_100,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,0by6lfut,,0,33,32,ultimatum,2,Results,10.192.8.216,2018-04-26 08:56:17.438410+00:00,1,,,631,2,,2,31,Female,1,5,60,1,,60,1,,,,,,,,,,,,1,1,4narc4e0,,,,,,0
2,9kzor8me,,0,33,32,ultimatum,2,Results,10.192.107.180,2018-04-26 08:56:48.551697+00:00,1,,,591,1,,2,21,Other,1,6,70,2,,30,1,,,,,,,,,,,,1,1,4narc4e0,,,,,,0
3,glecrfmg,,0,33,32,ultimatum,2,Results,10.192.124.63,2018-04-26 08:56:01.237840+00:00,1,,,541,2,,1,25,Female,1,6,30,2,,30,1,,,,,,,,,,,,1,1,4narc4e0,,,,,,0
4,1teu419h,,0,33,32,ultimatum,2,Results,10.192.29.125,2018-04-26 08:55:07.754727+00:00,1,,,561,1,,1,25,Male,1,5,40,1,,60,1,,,,,,,,,,,,1,1,4narc4e0,,,,,,0
1,0by6lfut,,0,33,32,ultimatum,2,Results,10.192.8.216,2018-04-26 08:56:17.438410+00:00,1,,,631,2,,2,31,Female,2,8,100,2,,100,1,,,,,,,,,,,,2,2,4narc4e0,,,,,,0
2,9kzor8me,,0,33,32,ultimatum,2,Results,10.192.107.180,2018-04-26 08:56:48.551697+00:00,1,,,591,1,,2,21,Other,2,7,0,1,,30,0,,,,,,,,,,,,2,2,4narc4e0,,,,,,0
3,glecrfmg,,0,33,32,ultimatum,2,Results,10.192.124.63,2018-04-26 08:56:01.237840+00:00,1,,,541,2,,1,25,Female,2,7,0,1,,30,0,,,,,,,,,,,,2,2,4narc4e0,,,,,,0
4,1teu419h,,0,33,32,ultimatum,2,Results,10.192.29.125,2018-04-26 08:55:07.754727+00:00,1,,,561,1,,1,25,Male,2,8,0,2,,100,1,,,,,,,,,,,,2,2,4narc4e0,,,,,,0
